ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
213603,Slc44a3,"solute carrier family 44, member 3",-0.648248636,3.39038545,-3.928900186,0.001581806,0.007887713,-1.503812665
54131,Irf3,interferon regulatory factor 3,-0.485676627,5.230506952,-3.928731431,0.001582324,0.007887713,-1.818584608
329910,Acot11,acyl-CoA thioesterase 11,-1.128868579,2.213870512,-4.03931617,0.001588848,0.007917453,-1.221593995
78619,Zfp449,zinc finger protein 449,-0.958608344,1.767201236,-3.925030132,0.00159373,0.007938991,-1.208702491
230895,Vps13d,vacuolar protein sorting 13D,-0.444980616,6.540785028,-3.924169906,0.001596393,0.007949465,-1.90350329
225288,Fhod3,formin homology 2 domain containing 3,-0.565478079,8.833328358,-3.954950713,0.001606696,0.007997963,-1.801145268
68644,Abhd14a,abhydrolase domain containing 14A,1.001849089,1.840313522,3.918807923,0.001613094,0.008024297,-1.223959867
26442,Psma5,proteasome subunit alpha 5,0.46174856,5.879999986,3.918685422,0.001613477,0.008024297,-1.892585058
21917,Tmpo,thymopoietin,0.45167608,6.216833621,3.918619813,0.001613683,0.008024297,-1.907201783
100034726,Gm15772,ribosomal protein L26 pseudogene,0.568607257,4.164641398,3.917867782,0.00161604,0.008033204,-1.664802464
381644,Cep135,centrosomal protein 135,-0.639148229,3.623723158,-3.917361353,0.00161763,0.008038289,-1.570975588
218973,Wdhd1,WD repeat and HMG-box DNA binding protein 1,1.025631042,1.726065859,3.915809589,0.00162251,0.008057173,-1.209983192
319481,Wdr59,WD repeat domain 59,0.602324423,4.726837903,3.947671703,0.001622566,0.008057173,-1.745760399
17995,Ndufv1,NADH:ubiquinone oxidoreductase core subunit V1,0.435098568,6.367762442,3.915013757,0.001625019,0.008066531,-1.917529401
246228,Vwa1,von Willebrand factor A domain containing 1,-0.463262682,8.527874392,-3.914025848,0.001628139,0.008079191,-1.851579549
67785,Zmym4,"zinc finger, MYM-type 4",-0.458075701,5.270157064,-3.912985549,0.001631431,0.008092695,-1.854645738
73825,Ppp1r21,"protein phosphatase 1, regulatory subunit 21",-0.537544374,4.429432034,-3.911914646,0.001634826,0.008106705,-1.729418793
21938,Tnfrsf1b,"tumor necrosis factor receptor superfamily, member 1b",1.091446637,1.430804778,3.911239926,0.00163697,0.008114496,-1.170381714
268281,Shprh,SNF2 histone linker PHD RING helicase,-0.623288694,3.633085099,-3.911000523,0.001637731,0.008115433,-1.585309545
105203,Tasor2,transcription activation suppressor family member 2,0.486615237,5.898184145,3.910402089,0.001639635,0.008122032,-1.909450093
214112,Nipal4,NIPA-like domain containing 4,0.462759073,5.643522318,3.908869789,0.001644521,0.008138733,-1.89497714
22640,Zfp1,zinc finger protein 1,0.662056716,3.386295676,3.908842139,0.001644609,0.008138733,-1.535207598
51796,Srrm1,serine/arginine repetitive matrix 1,0.442656722,7.280386873,3.908805132,0.001644727,0.008138733,-1.921125812
233744,Spon1,"spondin 1, (f-spondin) extracellular matrix protein",0.893324549,2.209948485,3.907796385,0.001647952,0.008151848,-1.311640451
66256,Ssr2,"signal sequence receptor, beta",0.446869075,6.33547311,3.907578614,0.001648649,0.008152454,-1.931535924
14109,Fau,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived),0.436348497,7.946071354,3.906300465,0.001652747,0.008169867,-1.898085334
224065,Uts2b,urotensin 2B,-1.563001182,2.966188072,-4.762388836,0.001653327,0.008169886,-1.055813076
74349,Fam160a2,"family with sequence similarity 160, member A2",-0.57184637,4.667387103,-3.905037198,0.001656807,0.008184233,-1.781465082
16516,Kcnj15,"potassium inwardly-rectifying channel, subfamily J, member 15",1.65873284,0.324491438,3.928246962,0.001659547,0.008194917,-1.030414251
546663,NA,NA,0.532682414,4.460389072,3.90383747,0.001660672,0.008197617,-1.744578893
631624,Gm7072,predicted gene 7072,-0.987219583,2.178207036,-3.903400857,0.001662081,0.008201718,-1.320892721
226122,Ubtd1,ubiquitin domain containing 1,0.545289683,4.666372193,3.902962085,0.001663498,0.008205856,-1.780405432
237847,Rtn4rl1,reticulon 4 receptor-like 1,-0.951289739,1.938694061,-3.902452738,0.001665144,0.008211123,-1.281311509
85305,Kars,lysyl-tRNA synthetase,0.45401147,6.30283064,3.901793557,0.001667278,0.008218787,-1.942204999
269037,Ctif,CBP80/20-dependent translation initiation factor,-0.494074659,4.997567482,-3.901584094,0.001667956,0.008219275,-1.839402844
23970,Pacsin2,protein kinase C and casein kinase substrate in neurons 2,-0.437430834,6.610148225,-3.900702576,0.001670815,0.008230503,-1.949882071
67724,Pop1,"processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae)",1.005337938,1.784324567,3.899141084,0.00167589,0.00825264,-1.251928344
242466,Zfp462,zinc finger protein 462,-0.93326833,6.192780953,-4.80601361,0.001678474,0.008262255,-1.499509812
109169,Igip,IgA inducing protein,-0.749031501,2.918789677,-3.898184472,0.001679008,0.008262255,-1.471977215
215474,Sec22c,"SEC22 homolog C, vesicle trafficking protein",-0.634113564,3.495766147,-3.897270781,0.001681991,0.008274064,-1.585674143
71637,4930413F20Rik,RIKEN cDNA 4930413F20 gene,-1.875082826,-0.955450897,-3.896106008,0.001685801,0.008289934,-0.996146093
100042069,Impdh2-ps,"inosine monophosphate dehydrogenase 2, pseudogene",0.616189541,3.983110886,3.895643325,0.001687317,0.00829335,-1.674424288
66975,Trappc13,trafficking protein particle complex 13,-0.482254498,4.82154205,-3.895537268,0.001687665,0.00829335,-1.824848019
59024,Med12,mediator complex subunit 12,-0.446109956,6.012991242,-3.895021223,0.001689358,0.008298795,-1.950205229
76890,Memo1,mediator of cell motility 1,0.50167575,5.265373279,3.893940456,0.001692909,0.008313361,-1.88444268
53421,Sec61a1,Sec61 alpha 1 subunit (S. cerevisiae),0.432768646,7.591639831,3.892805868,0.001696645,0.008326981,-1.941097908
12054,Bcl7b,B cell CLL/lymphoma 7B,-0.494417815,5.056398644,-3.892741808,0.001696856,0.008326981,-1.865335862
100041621,Gm3435,predicted gene 3435,-1.436958572,0.382081038,-3.891891182,0.001699663,0.008337871,-1.076360891
270120,Fat3,FAT atypical cadherin 3,1.607198479,0.838367584,4.004267774,0.001703467,0.00835364,-1.066512545
320159,Togaram2,TOG array regulator of axonemal microtubules 2,1.148932569,1.075891606,3.890364224,0.001704714,0.008356869,-1.157773782
22248,Unc119,unc-119 lipid binding chaperone,0.529135325,4.365906189,3.889278151,0.001708316,0.008371632,-1.756960085
11517,Adcyap1r1,adenylate cyclase activating polypeptide 1 receptor 1,-1.787876262,-0.389430442,-3.888367996,0.00171134,0.008383557,-1.025185307
76469,Cmya5,cardiomyopathy associated 5,-1.133253804,1.120612697,-3.886894284,0.001716248,0.0084047,-1.17767351
56807,Scamp5,secretory carrier membrane protein 5,2.14159936,-1.693362307,3.886027063,0.001719143,0.008415973,-1.02874272
230793,Ahdc1,"AT hook, DNA binding motif, containing 1",0.430402463,7.296903365,3.885337189,0.00172145,0.008424358,-1.966809672
329152,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",-0.6681253,3.267773842,-3.884628503,0.001723823,0.008433061,-1.566111409
93742,Pard3,par-3 family cell polarity regulator,0.426664338,7.459857567,3.883760275,0.001726734,0.008444392,-1.96420289
18025,Nfe2l3,"nuclear factor, erythroid derived 2, like 3",1.396910566,0.277516715,3.883528961,0.001727511,0.008445278,-1.078003417
69631,Plet1os,"placenta expressed transcript 1, opposite strand",2.567003165,-1.393075965,3.949339665,0.001728549,0.008447444,-1.007134017
18570,Pdcd6,programmed cell death 6,0.433005021,5.642008896,3.882477637,0.001731045,0.008456726,-1.947466466
26429,Orc5,"origin recognition complex, subunit 5",-0.649996951,3.496557467,-3.881737108,0.001733538,0.008465993,-1.615838582
21333,Tac1,tachykinin 1,0.94113107,2.767268417,3.935347877,0.001737806,0.008483841,-1.435180983
18458,Pabpc1,"poly(A) binding protein, cytoplasmic 1",0.530664577,10.3168503,3.880227311,0.001738634,0.008483841,-1.814745192
215951,Afg1l,AFG1 like ATPase,-0.745483042,2.814778466,-3.880122778,0.001738987,0.008483841,-1.48737399
18585,Pde9a,phosphodiesterase 9A,1.663724383,-0.424460385,3.879667141,0.001740528,0.008488439,-1.037480933
214585,Spg11,"SPG11, spatacsin vesicle trafficking associated",-0.481885466,4.964871485,-3.879098517,0.001742453,0.008493605,-1.878724786
75695,Rilpl1,Rab interacting lysosomal protein-like 1,-0.490111091,4.822932631,-3.878979157,0.001742857,0.008493605,-1.857486005
71805,Nup93,nucleoporin 93,0.509720054,5.155365998,3.878824002,0.001743383,0.008493605,-1.899972105
57785,Rangrf,RAN guanine nucleotide release factor,0.861798241,2.697970506,3.876815843,0.001750203,0.008521853,-1.461617467
330577,Saxo2,stabilizer of axonemal microtubules 2,-1.808337184,-0.9232235,-3.876763041,0.001750383,0.008521853,-1.030163305
17263,Meg3,maternally expressed 3,-0.665138921,4.047223543,-3.900220754,0.001751029,0.008522073,-1.716129083
12571,Cdk6,cyclin-dependent kinase 6,1.19841504,1.003657126,3.874698431,0.001757423,0.008550261,-1.176717029
225363,Etf1,eukaryotic translation termination factor 1,0.492755414,8.871554737,3.873991372,0.001759841,0.008559089,-1.910217689
58203,Zbp1,Z-DNA binding protein 1,1.560840772,-0.026145426,3.873395534,0.001761881,0.008564859,-1.071140772
269941,Chsy1,chondroitin sulfate synthase 1,0.625923052,5.450372903,4.079829027,0.001762235,0.008564859,-1.826056363
104103,Airn,antisense Igf2r RNA,-0.973067751,1.759594644,-3.872053099,0.001766486,0.008582582,-1.308122152
233066,Syne4,"spectrin repeat containing, nuclear envelope family member 4",1.317776928,1.312750369,3.904000266,0.001770262,0.008597402,-1.207348971
66420,Polr2e,polymerase (RNA) II (DNA directed) polypeptide E,0.575962446,3.968531113,3.87069867,0.001771145,0.008597402,-1.721282131
20351,Sema4a,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A",-1.208648039,6.340461253,-5.272947332,0.001771956,0.008597402,-1.361559849
20538,Slc6a2,"solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2",1.106085034,1.465947225,3.870461896,0.001771961,0.008597402,-1.25242438
208650,Cblb,Casitas B-lineage lymphoma b,-0.451881235,5.263434457,-3.8685495,0.001778563,0.008624021,-1.941125053
68193,Rpl24,ribosomal protein L24,0.454186743,8.145086441,3.868520715,0.001778663,0.008624021,-1.961797097
213391,Rassf4,Ras association (RalGDS/AF-6) domain family member 4,-0.575430233,6.564948138,-4.051428119,0.001786883,0.008660864,-1.911537336
28042,Selenoi,selenoprotein I,0.522639382,5.424784187,3.884079512,0.001787482,0.008660864,-1.946275461
65945,Clstn1,calsyntenin 1,-0.481955129,9.476527748,-3.864826154,0.001791489,0.008677317,-1.89408769
12661,Chl1,cell adhesion molecule L1-like,2.162890362,-1.243930569,3.862976349,0.001797947,0.008703898,-1.054355024
20868,Stk10,serine/threonine kinase 10,0.689112037,3.420331385,3.86290275,0.001798204,0.008703898,-1.630544305
76000,5033430I15Rik,RIKEN cDNA 5033430I15 gene,0.846117754,2.415108126,3.86164825,0.001802598,0.008722189,-1.43857179
106504,Stk38,serine/threonine kinase 38,-0.452001489,5.390890044,-3.860965369,0.001804994,0.008729153,-1.971459292
83925,Trps1,transcriptional repressor GATA binding 1,-0.433277449,7.324342243,-3.860887422,0.001805268,0.008729153,-2.015690472
66141,Ifitm3,interferon induced transmembrane protein 3,0.499411982,9.50618495,3.860374535,0.00180707,0.00873489,-1.900654151
73737,1110008P14Rik,RIKEN cDNA 1110008P14 gene,0.820021635,5.96766087,4.505400185,0.001816482,0.008777394,-1.672850708
18655,Pgk1,phosphoglycerate kinase 1,0.506272462,7.313747398,3.883748208,0.00181763,0.008779953,-2.005138944
98685,Trmt1l,tRNA methyltransferase 1 like,-0.807181385,3.151113638,-3.879939246,0.00182043,0.008790483,-1.583011776
242481,NA,NA,0.529166572,4.564582075,3.856097138,0.001822171,0.008795895,-1.855764682
27407,Abcf2,"ATP-binding cassette, sub-family F (GCN20), member 2",0.459833108,5.722346586,3.853493806,0.001831424,0.008837556,-2.010044212
320910,Itgb8,integrin beta 8,-0.791292008,4.420117373,-4.165788189,0.001832216,0.008838373,-1.668352766
225608,Sh3tc2,SH3 domain and tetratricopeptide repeats 2,-0.588934865,4.285814787,-3.852843771,0.001833742,0.008841774,-1.819823622
330050,Fam185a,"family with sequence similarity 185, member A",0.843399876,2.570855435,3.852724486,0.001834168,0.008841774,-1.484749587
18129,Notch2,notch 2,-0.426723432,6.094685937,-3.851839433,0.00183733,0.008854006,-2.038078244
13211,Dhx9,DEAH (Asp-Glu-Ala-His) box polypeptide 9,0.448059007,8.294588003,3.850327547,0.001842743,0.008877079,-1.989356952
69568,Vkorc1l1,"vitamin K epoxide reductase complex, subunit 1-like 1",1.08211334,1.594985835,3.848633643,0.001848828,0.008898945,-1.314938902
11835,Ar,androgen receptor,-0.65271079,3.381715562,-3.848521622,0.001849231,0.008898945,-1.658464548
13063,Cycs,"cytochrome c, somatic",0.446953821,5.367399774,3.848431376,0.001849556,0.008898945,-1.986819227
78801,Ak7,adenylate kinase 7,1.888892946,-0.61765327,3.848365962,0.001849791,0.008898945,-1.084791759
244885,Sh2d7,SH2 domain containing 7,-1.077999898,1.554698682,-3.847779581,0.001851904,0.008906087,-1.318609944
108671,Dnajc9,DnaJ heat shock protein family (Hsp40) member C9,0.615187477,3.591191028,3.846979133,0.001854791,0.00891695,-1.695739515
382014,Ano8,anoctamin 8,-0.665198962,3.714459146,-3.846323351,0.00185716,0.008925314,-1.726379233
58869,Pex5l,peroxisomal biogenesis factor 5-like,1.609796279,-0.311298801,3.845838562,0.001858913,0.008928235,-1.103368557
68477,Rmnd5a,required for meiotic nuclear division 5 homolog A,-0.417343348,7.075906691,-3.845807258,0.001859026,0.008928235,-2.052411963
233033,Samd4b,sterile alpha motif domain containing 4B,0.470005382,7.808848986,3.844307764,0.00186446,0.008951301,-2.026465201
208043,Setd1b,SET domain containing 1B,-0.616245838,4.235566204,-3.852389192,0.001866549,0.0089583,-1.823267927
14579,Gem,GTP binding protein (gene overexpressed in skeletal muscle),-0.474196075,9.302894291,-3.843189134,0.001868524,0.008964745,-1.946467098
234593,Ndrg4,N-myc downstream regulated gene 4,-0.50902605,4.562929033,-3.842416935,0.001871335,0.008975196,-1.887892158
243219,2900026A02Rik,RIKEN cDNA 2900026A02 gene,0.453521788,7.0558191,3.842031395,0.00187274,0.008975395,-2.058189431
74533,Gzf1,GDNF-inducible zinc finger protein 1,-0.58869974,3.876972004,-3.841992991,0.00187288,0.008975395,-1.766479709
76900,Ssbp4,single stranded DNA binding protein 4,0.67555159,3.350488441,3.841884762,0.001873275,0.008975395,-1.658281683
74309,Osbp2,oxysterol binding protein 2,-1.185194052,1.968184616,-3.962900679,0.001878636,0.008998046,-1.337205219
14791,Emg1,EMG1 N1-specific pseudouridine methyltransferase,0.505000703,4.655649859,3.837481544,0.001889402,0.009046554,-1.907720668
207965,Vcpkmt,valosin containing protein lysine (K) methyltransferase,0.6864091,3.126089767,3.837099658,0.001890807,0.009050229,-1.624289327
433771,Micos10,mitochondrial contact site and cristae organizing system subunit 10,0.45797097,5.786357477,3.83592529,0.001895135,0.009067886,-2.049249952
233067,Lrfn3,leucine rich repeat and fibronectin type III domain containing 3,-1.190372866,1.185284963,-3.834936215,0.001898788,0.009080299,-1.283593962
17387,Mmp14,matrix metallopeptidase 14 (membrane-inserted),-0.418207471,7.453286055,-3.834876425,0.001899009,0.009080299,-2.062351798
103724,Tbc1d10a,"TBC1 domain family, member 10a",0.445690923,5.806475507,3.834536045,0.001900268,0.009083258,-2.053653893
68011,Snrpg,small nuclear ribonucleoprotein polypeptide G,0.454459522,5.147055581,3.832995636,0.001905977,0.009107475,-1.990025761
81702,Ankrd17,ankyrin repeat domain 17,0.487255205,7.937255063,3.831866706,0.001910171,0.009124445,-2.044586111
11428,Aco1,aconitase 1,-0.429410756,6.589611222,-3.831568382,0.001911281,0.009126674,-2.085825353
19131,Prh1,proline rich protein HaeIII subfamily 1,-2.139158351,-1.328103431,-3.831386591,0.001911958,0.009126834,-1.108348939
625514,Gm6594,high mobility group nucleosomal binding domain 2 pseudogene,0.866401596,2.103888212,3.8308399,0.001913995,0.009132842,-1.440987455
17986,Ndp,Norrie disease (pseudoglioma) (human),1.240742575,0.999885623,3.830703187,0.001914504,0.009132842,-1.257795366
13198,Ddit3,DNA-damage inducible transcript 3,-0.545052029,4.565320703,-3.830117346,0.00191669,0.009140194,-1.912041705
20167,Rtn2,reticulon 2 (Z-band associated protein),-0.890462004,2.314067273,-3.829466539,0.001919121,0.009148711,-1.489202293
101685,Spty2d1,SPT2 chromatin protein domain containing 1,-0.550943466,6.903514528,-3.962819292,0.001920759,0.009153446,-2.010357958
268970,Arhgap28,Rho GTPase activating protein 28,-0.60420701,4.061259967,-3.826424617,0.001930524,0.009196892,-1.830918836
16880,Lifr,LIF receptor alpha,-0.917228084,8.319552955,-4.606215548,0.001933208,0.009206586,-1.638245626
18551,Pcsk4,proprotein convertase subtilisin/kexin type 4,1.225092642,0.86205593,3.825334638,0.001934627,0.009210252,-1.25047682
68982,1500015A07Rik,RIKEN cDNA 1500015A07 gene,0.998947477,2.083633537,3.823714952,0.00194074,0.009236255,-1.447995247
52202,Rbm34,RNA binding motif protein 34,0.554763614,4.084644858,3.823531873,0.001941432,0.009236451,-1.835108416
69731,Gemin7,gem nuclear organelle associated protein 7,-0.582829206,3.921464595,-3.822369189,0.001945834,0.00925429,-1.813265094
17261,Mef2d,myocyte enhancer factor 2D,0.432931019,6.229410082,3.821629892,0.001948638,0.009264521,-2.098321426
83486,Rbm5,RNA binding motif protein 5,-0.470207465,6.051045181,-3.82083866,0.001951644,0.009275704,-2.09738914
66840,Wdr45b,WD repeat domain 45B,0.431748296,6.441883046,3.820450766,0.001953119,0.009279607,-2.104344624
69961,Rpp25l,ribonuclease P/MRP 25 subunit-like,0.952471824,1.857957907,3.8197742,0.001955695,0.009288735,-1.417033681
227715,Exosc2,exosome component 2,0.661962692,3.71912617,3.819164729,0.001958019,0.009296658,-1.773391077
319829,9330154K18Rik,RIKEN cDNA 9330154K18 gene,-2.159379077,-1.88736323,-3.818938501,0.001958882,0.009297644,-1.145209603
241944,Zfp267,zinc finger protein 267,0.516950229,4.401553042,3.818087892,0.001962131,0.00930995,-1.902766525
23825,Banf1,BAF nuclear assembly factor 1,0.468701312,6.020521349,3.817680058,0.001963691,0.009314235,-2.098404419
75560,Ep400,E1A binding protein p400,0.445718714,7.164046891,3.817423663,0.001964672,0.009315775,-2.10412967
66359,Cox20,cytochrome c oxidase assembly protein 20,-0.53692662,4.134463347,-3.816644702,0.001967656,0.009326806,-1.864202315
14634,Gli3,GLI-Kruppel family member GLI3,-0.415502257,6.184296571,-3.816397415,0.001968604,0.009328184,-2.110224632
216724,Rufy1,RUN and FYVE domain containing 1,-0.517002971,4.510673613,-3.814171959,0.001977159,0.009365592,-1.934549308
15115,Hars,histidyl-tRNA synthetase,0.430643705,5.617513451,3.813968115,0.001977944,0.009366186,-2.080011245
74257,Tspan17,tetraspanin 17,-1.081481582,1.772684816,-3.820997242,0.001983567,0.00938968,-1.417650908
13433,Dnmt1,DNA methyltransferase (cytosine-5) 1,0.455736288,5.767709683,3.812312695,0.001984335,0.009390178,-2.094393377
381801,Tatdn2,TatD DNase domain containing 2,0.443495153,5.949757865,3.811838173,0.00198617,0.009395731,-2.106786855
233863,Gtf3c1,general transcription factor III C 1,-0.491252775,6.030847566,-3.831074426,0.001987404,0.009398433,-2.103091073
27280,Phlda3,"pleckstrin homology like domain, family A, member 3",0.413486599,6.500644247,3.811105813,0.001989007,0.009402879,-2.123479122
12557,Cdh17,cadherin 17,-1.437754626,1.147785857,-3.922950291,0.00199004,0.00940463,-1.264101359
99311,Commd7,COMM domain containing 7,-0.523884652,4.244677889,-3.808910196,0.001997535,0.009436908,-1.899244678
212514,Spice1,spindle and centriole associated protein 1,-0.562501786,4.585557187,-3.808143683,0.002000522,0.00944787,-1.958297017
15312,Hmgn1,high mobility group nucleosomal binding domain 1,0.430152851,7.713532532,3.80789085,0.002001508,0.009449381,-2.102722725
11541,Adora2b,adenosine A2b receptor,1.059228032,1.924242511,3.820883845,0.002002802,0.009452344,-1.441911711
140721,Caskin2,CASK-interacting protein 2,-0.435191101,6.186485537,-3.807368524,0.002003546,0.009452714,-2.127960853
66647,Nsmce3,"NSE3 homolog, SMC5-SMC6 complex component",0.609428677,3.677384124,3.807120205,0.002004516,0.009454145,-1.790123067
18208,Ntn1,netrin 1,0.76730387,2.683556189,3.805968177,0.002009022,0.009472247,-1.597880741
56436,Adrm1,adhesion regulating molecule 1,0.423124152,6.006805201,3.805345809,0.00201146,0.009480594,-2.122777676
67772,Chd8,chromodomain helicase DNA binding protein 8,-0.414605339,6.176203349,-3.804895043,0.002013228,0.009485775,-2.13264322
328779,Hs3st6,heparan sulfate (glucosamine) 3-O-sulfotransferase 6,1.508667371,0.121453645,3.804494064,0.002014802,0.00949004,-1.207638985
12325,Camk2g,calcium/calmodulin-dependent protein kinase II gamma,-0.451555654,6.978185641,-3.803907035,0.002017109,0.009495455,-2.13672346
114663,Impa2,inositol monophosphatase 2,0.671866011,3.527585437,3.803726402,0.002017819,0.009495455,-1.766589744
14853,Gspt2,G1 to S phase transition 2,1.627058805,-0.520869614,3.803690691,0.00201796,0.009495455,-1.168619247
76025,Cant1,calcium activated nucleotidase 1,-0.516732688,4.531830885,-3.802552379,0.002022442,0.009513391,-1.960850586
93874,Pcdhb3,protocadherin beta 3,-0.946925637,2.623651406,-3.857365163,0.002024051,0.009516525,-1.568044409
14628,Ostm1,osteopetrosis associated transmembrane protein 1,-0.558896715,4.37593813,-3.801951505,0.002024812,0.009516525,-1.935366198
18174,Slc11a2,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2",0.653640755,5.290440371,4.056455787,0.002025121,0.009516525,-1.919606264
140887,Lnx2,ligand of numb-protein X 2,0.528332474,4.68143676,3.799712588,0.002033669,0.009550096,-1.985584838
74152,Stra6l,STRA6-like,2.247268855,-2.008719937,3.799598834,0.00203412,0.009550096,-1.176949457
16832,Ldhb,lactate dehydrogenase B,0.438429735,6.022099456,3.799391682,0.002034942,0.009550096,-2.134924573
52477,Angel2,angel homolog 2,-0.455234622,5.096529142,-3.799387718,0.002034957,0.009550096,-2.054501167
74256,Cyld,CYLD lysine 63 deubiquitinase,-0.484608421,6.025315023,-3.81544165,0.002038052,0.009561456,-2.129891497
14450,Gart,phosphoribosylglycinamide formyltransferase,0.56328248,4.88908011,3.820140019,0.002041854,0.009576125,-2.007986846
241452,Dhrs9,dehydrogenase/reductase (SDR family) member 9,-1.690831336,4.94678586,-5.5818385,0.002049472,0.009607454,-1.245320624
75745,Rian,RNA imprinted and accumulated in nucleus,-0.80009581,2.881276892,-3.795637996,0.002049888,0.009607454,-1.663018482
73167,Arhgap8,Rho GTPase activating protein 8,1.019472999,1.443974533,3.795208915,0.002051604,0.009612319,-1.393542723
231051,Kmt2c,lysine (K)-specific methyltransferase 2C,-0.447589453,7.305317369,-3.794520814,0.002054358,0.009622046,-2.146816785
76787,Ppfia3,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3",-1.27035181,0.728613144,-3.793528685,0.002058336,0.009637495,-1.298488815
80905,Polh,"polymerase (DNA directed), eta (RAD 30 related)",0.698189902,3.41219822,3.793199703,0.002059657,0.009640498,-1.7645187
78928,Pigt,"phosphatidylinositol glycan anchor biosynthesis, class T",0.433339864,6.042674903,3.791705502,0.002065666,0.009665438,-2.150983844
15957,Ifit1,interferon-induced protein with tetratricopeptide repeats 1,-1.531820802,1.377425455,-4.052823538,0.002066734,0.009667244,-1.261166792
108735,Sft2d2,SFT2 domain containing 2,-0.415794928,6.059061153,-3.790779466,0.0020694,0.009676524,-2.157123181
78611,Btbd19,BTB (POZ) domain containing 19,-0.818094811,2.292255353,-3.790249769,0.002071538,0.009683333,-1.561642897
74102,Slc35a5,"solute carrier family 35, member A5",-0.670878284,3.151116521,-3.789989244,0.002072591,0.009685062,-1.727520368
53872,Caprin1,cell cycle associated protein 1,0.463861564,7.914850511,3.788431052,0.002078898,0.009711337,-2.131213358
64706,Scube1,"signal peptide, CUB domain, EGF-like 1",1.885182359,-0.958154691,3.788106219,0.002080216,0.009714293,-1.182992241
56460,Pkp3,plakophilin 3,-0.431333077,8.155199881,-3.787761152,0.002081616,0.009717633,-2.120656826
232087,Mat2a,"methionine adenosyltransferase II, alpha",0.485430195,9.074321194,3.784251701,0.002095913,0.009781155,-2.074857193
320806,Gfm2,"G elongation factor, mitochondrial 2",-0.619241502,3.511522114,-3.782602705,0.002102664,0.009809438,-1.812283778
14676,Gna15,"guanine nucleotide binding protein, alpha 15",-1.196598273,1.640558674,-3.832754477,0.002108191,0.009831201,-1.429807164
72554,Utp14a,UTP14A small subunit processome component,0.567214243,4.377799678,3.781129492,0.002108715,0.009831201,-1.970106586
22627,Ywhae,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",0.462065101,8.509088597,3.780210853,0.002112497,0.009845598,-2.11506803
231832,Tmem184a,transmembrane protein 184a,-0.548641937,4.087871569,-3.77774954,0.002122665,0.009887097,-1.931741714
70028,Dop1b,DOP1 leucine zipper like protein B,-0.476163819,4.966335407,-3.777670211,0.002122993,0.009887097,-2.078068577
65106,Arl6ip5,ADP-ribosylation factor-like 6 interacting protein 5,0.547356599,7.339213436,3.900228186,0.002123492,0.009887097,-2.103951678
15117,Has2,hyaluronan synthase 2,-0.450664089,5.98945331,-3.777027344,0.002125657,0.009893931,-2.181274649
74682,Wdr35,WD repeat domain 35,-0.495119423,4.556476156,-3.772819342,0.00214318,0.009972221,-2.02344602
12827,Col4a2,"collagen, type IV, alpha 2",0.528472895,11.23855202,3.771937677,0.00214687,0.009986115,-1.972425505
76267,Fads1,fatty acid desaturase 1,-0.50562248,7.728265575,-3.800840993,0.002151217,0.010003053,-2.157985219
223838,Adamts20,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20",-0.601923666,3.815663201,-3.768920122,0.002159549,0.010035827,-1.897522026
277333,Gm5069,glyceraldehyde-3-phosphate dehydrogenase pseudogene,-0.999630362,1.509495264,-3.768888925,0.00215968,0.010035827,-1.462257408
66119,Tomm6,translocase of outer mitochondrial membrane 6,0.491931904,4.727146996,3.767691419,0.002164733,0.010056013,-2.056384591
231841,Brat1,BRCA1-associated ATM activator 1,-0.79446212,2.435536768,-3.766795598,0.00216852,0.01007031,-1.633790772
192287,Slc25a36,"solute carrier family 25, member 36",-0.428347376,5.461523944,-3.765640423,0.002173414,0.010089735,-2.166488362
234776,Atmin,ATM interactor,0.724945543,2.972876194,3.764181928,0.00217961,0.010115186,-1.735521635
109648,Npy,neuropeptide Y,1.369488235,0.241983817,3.763591197,0.002182124,0.010123543,-1.29474523
68292,Stt3b,"STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)",0.424520467,6.721462065,3.762981879,0.002184721,0.010132275,-2.218146452
11545,Parp1,"poly (ADP-ribose) polymerase family, member 1",0.445097795,6.17122824,3.762807609,0.002185464,0.01013241,-2.212396305
68514,Micu2,mitochondrial calcium uptake 2,-0.473718237,6.103311149,-3.772379536,0.00219327,0.010165278,-2.209941065
73680,Zbtb8a,zinc finger and BTB domain containing 8a,-0.925448196,2.25588285,-3.760218155,0.002196537,0.010173838,-1.611000182
216850,Kdm6b,KDM1 lysine (K)-specific demethylase 6B,0.475877372,9.26366514,3.760215018,0.002196551,0.010173838,-2.111225488
